Data,Foreign Trading,,,
Period,Monthly since Jan-1995 to present,,,
Unit,Million Baht,,,
,SET,,mai,
Month-Year,BUY,SELL,BUY,SELL
11/1/2018,336654.61,350647.58,668.21,556.11
10/1/2018,375163.69,439462.88,1222.39,1240.67
9/1/2018,400287.73,408044.18,1084.75,1001.24
8/1/2018,402798.41,413216.82,1284.04,1549.28
7/1/2018,386498.44,397120.85,916.01,915.45
6/1/2018,466020.76,514671.36,1656.71,1720.09
5/1/2018,459929.13,511788.35,943.31,817.96
4/1/2018,403193.94,424643.8,649.07,603.15
3/1/2018,496589.58,507625.2,1231.27,1414.69
2/1/2018,434445.05,475827.02,1129.36,1052.14
1/1/2018,536637.68,542336.97,1462.1,1230.78
12/1/2017,298083.04,307040.01,1664.79,1744.31
11/1/2017,398720.51,417883.31,2741.48,2472.39
10/1/2017,344784.84,352081.83,1563.72,1387.54
9/1/2017,385403.52,378437.15,3568.44,3941.69
8/1/2017,303954.25,308125.66,1156.36,1167.43
7/1/2017,263167.27,269753.95,622.73,521.62
6/1/2017,276096.17,276258.94,817.04,1282.7
5/1/2017,286906.81,281384.42,953.49,1021.97
4/1/2017,219076.35,217269.99,1388.93,1369.18
3/1/2017,310144.63,306540.31,1295.31,979.32
2/1/2017,296483.83,300233.3,1426.35,1422.99
1/1/2017,282364.06,275931.83,1303.28,1538.87
12/1/2016,225174.27,224721.74,3341.7,3484.88
11/1/2016,288012.54,324946.99,1938.17,1893.37
10/1/2016,323792.87,341864.06,921.48,995.57
9/1/2016,392884.9,375658.02,1697.02,1280.58
8/1/2016,354652.14,320278.89,1661.23,1680.33
7/1/2016,291065.82,246696.71,2900.68,1973.89
6/1/2016,253821.84,235425.64,1636.33,1556.34
5/1/2016,228031.67,223297.1,1089.63,1019.14
4/1/2016,189402.08,195000.09,626.98,730.05
3/1/2016,331594.79,305141.77,1090.87,1014.36
2/1/2016,209766.69,209275.52,635.76,939.24
1/1/2016,210675.27,218641.2,606.55,959.84
12/1/2015,189928.65,222457.05,945.07,911.43
11/1/2015,180280.55,194763.73,1180.93,1251.24
10/1/2015,196209.98,196001.47,1413.76,1672.1
9/1/2015,173894.76,195044.76,1332,1208.86
8/1/2015,195142.24,239442.85,1029.8,865.35
7/1/2015,174185.17,200609.89,1223.84,1259.82
6/1/2015,183906.13,194393.76,1526.87,1719.47
5/1/2015,181314.4,178167.16,948.75,977.69
4/1/2015,197031.05,196901.37,1133.79,1053.91
3/1/2015,246514.78,243773.2,1312.33,1662.8
2/1/2015,182541.33,189439.47,2482.78,2227.77
1/1/2015,193525.2,197825.08,2809.01,3813.66
12/1/2014,174461.15,202199.96,2171.69,2021.73
11/1/2014,191014.27,179967.67,7516.1,6791.71
10/1/2014,190839.14,206978.48,2166.39,2054.98
9/1/2014,231182.53,210065.95,3914.32,4251.59
8/1/2014,157094.87,154696.38,1462.7,1209.55
7/1/2014,203523.73,189758.1,1906.15,1763.7
6/1/2014,190147.34,190504.77,809.36,1097.3
5/1/2014,171841.87,207602.13,524.64,544.9
4/1/2014,157338.81,141466.44,373.44,295.51
3/1/2014,183283.49,169029.68,518.55,602.21
2/1/2014,142248.45,163625.23,458.64,426.79
1/1/2014,222414.43,236079.77,344.5,217.98
12/1/2013,132943.38,173527.77,368.72,543.36
11/1/2013,181752.75,229827.69,387.48,917.06
10/1/2013,172312.28,171144.64,812.96,910.76
9/1/2013,222519.27,212913.26,600.53,777.68
8/1/2013,201221.89,241160.97,343.22,398.04
7/1/2013,226865.21,226366.9,547.15,442.79
6/1/2013,262036.14,317528.43,668.73,584.19
5/1/2013,251561.75,256709.11,729.06,696.87
4/1/2013,215770.21,235609.53,645.57,636.09
3/1/2013,258045.88,251801.39,1445.8,1490.62
2/1/2013,196955.5,214342.59,1103.36,945.49
